"Abbr","Name","Women","Men","Total","Ind","Relays","Total","Women","Men","Combined"
"ATMS","About Time Maste","1","0","1","3","0","3","0","0","0"
"PAOK","AC PAOK","1","0","1","5","0","5","0","0","0"
"ABM","Academy Bullets","1","2","3","13","0","13","7","0","7"
"ADMS","Adirondack Maste","2","0","2","9","0","9","2","0","2"
"AGUA","AGUA Masters","5","7","12","58","3","61","168","88","256"
"AAM","Alameda Aquatic","1","0","1","5","0","5","4","0","4"
"AAAA","Alamo Area Aquat","0","1","1","5","0","5","0","0","0"
"AKMS","Alaska Masters","3","7","10","48","4","52","26","65","103"
"ALEX","Alexandria Maste","1","1","2","6","0","6","0","0","0"
"ALMA","Almaden Masters","0","1","1","6","0","6","0","0","0"
"ETEX","Ambush Swimming","0","1","1","2","0","2","0","0","0"
"AMAC","Ames Masters Aqu","4","3","7","36","0","36","112","0","112"
"OHAAC","Amherst Aquatic","0","1","1","3","0","3","0","0","0"
"AWYY","Andrew and Walte","0","1","1","6","0","6","0","2","2"
"AAA","Anne Arundel Amp","1","1","2","8","0","8","1","1","2"
"ACSS","Aqua Culture Swi","1","2","3","13","0","13","0","2","2"
"ARIZ","Arizona Masters","7","14","21","97","3","100","166","211","377"
"AMS","Auburn Master Sw","0","2","2","7","0","7","0","19","19"
"ASC","Austin Swim Club","8","8","16","78","8","86","137","60","197"
"BSC","Bard Swim Club","0","1","1","4","0","4","0","0","0"
"BEAV","Beaver Swim Club","1","5","6","34","1","35","32","4","36"
"BGSU","BGSU Masters","0","1","1","5","0","5","0","0","0"
"BSMT","Big Sky Montana","1","5","6","20","0","20","7","40","47"
"BUMS","Binghamton Univ","0","1","1","6","0","6","0","29","29"
"BDO","Blue Dolfins Mas","1","0","1","3","0","3","20","0","20"
"BSCOH","Bobcat Swim Club","0","3","3","12","0","12","0","3","3"
"BSS","Bolles School Sh","1","2","3","11","0","11","11","7","18"
"BGSC","Bowling Green Sw","0","1","1","3","0","3","0","6","6"
"BLOC","Brian Lee Ohana","1","0","1","6","0","6","10","0","10"
"CSIN","Cardinal Swimmin","0","1","1","4","0","4","0","0","0"
"CBF","Carrollton Bluef","0","1","1","5","0","5","0","33","33"
"CM-Y","Cavalier Masters","2","2","4","16","0","16","38","5","43"
"CAMS","Central Alabama","2","2","4","24","2","26","19","56","75"
"YCNY","Central New York","1","0","1","1","0","1","0","0","0"
"COAS","Central Ohio Aqu","3","2","5","19","0","19","32","10","42"
"CTS","Central Texas Ma","1","0","1","4","0","4","9","0","9"
"CWUSC","Central Washingt","2","2","4","21","2","23","17","14","31"
"CDCH","Centro Deportivo","0","1","1","6","0","6","0","3","3"
"CHEL","Chelsea Piers fi","2","1","3","15","0","15","41","5","46"
"SWED","Chicago Swedish","18","7","25","95","13","108","40","84","124"
"CM","Cincinnati Marli","1","6","7","30","2","32","22","60","82"
"CMSA","City of Mobile M","0","1","1","5","0","5","0","8","8"
"HTUB","Club Hot Tub","2","1","3","16","0","16","41","46","87"
"1693","Club Tribe","5","22","27","131","14","145","32","245","305"
"COAST","Coast Aquatics M","1","0","1","6","0","6","54","0","54"
"COLE","Cole YMCA Master","1","0","1","4","0","4","1","0","1"
"1776","Colonials 1776","1","5","6","35","0","35","0","78","78"
"CMS","Colorado Masters","22","22","44","223","23","246","627","425","1,126"
"COLM","Columbia Masters","0","1","1","6","0","6","0","0","0"
"CBUSC","Columbus Clownfi","4","6","10","42","7","49","12","82","114"
"CVMM","Conejo Valley Ma","2","4","6","34","0","34","106","83","189"
"CONN","Connecticut Mast","6","11","17","79","0","79","118","57","175"
"CSMS","Coral Springs Ma","1","2","3","8","0","8","0","0","0"
"CWTWN","Cowtown Swimming","2","0","2","9","0","9","0","0","0"
"CSPM","CSP Tideriders M","1","8","9","46","3","49","0","99","99"
"DKTA","Dakota Masters","1","1","2","12","0","12","17","55","72"
